Position,Category,Brand,Colour,Product Name,Product Link,Main Image,Current Price,Original Price,Discount,Swatch Image 1,Swatch Image 2,Swatch Image 3
1,Skirts,,Black,PixieGirl Black Coated Split Midi Skirt,https://www.pixiegirl.com/pixiegirl-black-coated-split-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/8996f2d8-a746-4e_225297_A.jpg,£29.99,,,,,
2,Skirts,,Black,PixieGirl Black Sequin Embellished Maxi Skirt,https://www.pixiegirl.com/pixiegirl-black-sequin-embellished-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/366f47b1-2d7f-41_225612_1.jpg,£35,,,https://cdn.pixiegirl.com/Images/ProductImages/Medium/df4c0e2d-4754-42_225611_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/154afdcd-f765-4c_225612_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/154afdcd-f765-4c_225612_X.jpg
3,Skirts,,Black,PixieGirl Black Denim Button Mini Skirt,https://www.pixiegirl.com/blk-button-front-mini-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/a5817439-8857-46_225334_A.jpg,£26.99,,,,,
4,Skirts,,Black,PixieGirl Black Coated Mini Skirt,https://www.pixiegirl.com/pixiegirl-black-coated-mini-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/7756e52a-08bd-49_225132_A.jpg,£22.99,,,,,
5,Skirts,,Black,PixieGirl Black Velvet Rose Detailed Skirt,https://www.pixiegirl.com/flock-skirt-black-225761-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/035f6dec-3501-40_225761_A.jpg,£26.99,,,https://cdn.pixiegirl.com/Images/ProductImages/40291b5a-1700-4e_224492_A.jpg,https://cdn.pixiegirl.com/Images/ProductImages/6724af79-39df-48_224567_224054_L4.jpg,https://cdn.pixiegirl.com/Images/ProductImages/0306d29b-231e-41_224407_224573_L1.jpg
6,Skirts,,Red,PixieGirl Burgundy Red Sequin Embellished Maxi Skirt,https://www.pixiegirl.com/pixiegirl-burgundy-red-sequin-embellished-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/11d8dcd5-a91a-45_BQ4A6916.jpg,£35,,,https://cdn.pixiegirl.com/Images/ProductImages/Medium/154afdcd-f765-4c_225612_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/df4c0e2d-4754-42_225611_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/df4c0e2d-4754-42_225611_X.jpg
7,Skirts,,Blue,PixieGirl Blue Floral Print Tiered Maxi Skirt,https://www.pixiegirl.com/pixiegirl-blue-floral-print-tiered-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/2508fbe6-8eb0-48_225239_A.jpg,£29.99,,,,,
8,Skirts,,Green,PixieGirl Khaki Green Cargo Ruched Midi Skirt,https://www.pixiegirl.com/khk-cargo-ruched-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/7399179c-4500-4f_224995_A.jpg,£26.99,,,https://cdn.pixiegirl.com/Images/ProductImages/40291b5a-1700-4e_224492_A.jpg,https://cdn.pixiegirl.com/Images/ProductImages/6724af79-39df-48_224567_224054_L4.jpg,https://cdn.pixiegirl.com/Images/ProductImages/0306d29b-231e-41_224407_224573_L1.jpg
9,Skirts,,Green,PixieGirl Dark Green Blurred Check Maxi Skirt,https://www.pixiegirl.com/pixiegirl-dark-green-blurred-check-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/5f11a984-cba7-41_225269_A.jpg,£29.99,,,https://cdn.pixiegirl.com/Images/ProductImages/Medium/ebaa76ac-c0c4-49_225268_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/0930283d-502f-47_225269_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/0930283d-502f-47_225269_X.jpg
10,Skirts,,Blue,PixieGirl Blue Denim Ripped Hem Midi Skirt,https://www.pixiegirl.com/pixiegirl-blue-denim-ripped-hem-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/f7320c4c-8ced-4d_224221_L1.jpg,£32.99,,,,,
11,Skirts,,Blue,PixieGirl Navy Blue Crinkle Maxi Skirt,https://www.pixiegirl.com/navy-blue-dbl-bonded-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/e3ec1076-f2a6-40_224790_224160_L1.jpg,£25,,,,,
12,Skirts,,Red,PixieGirl Burgundy Red Faux Leather Fishtail Skirt,https://www.pixiegirl.com/matt-pu-skirt-red-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/153a2fb3-fb82-4c_225841_A.jpg,£24.99,,,,,
13,Skirts,,Blue,PixieGirl Cobalt Blue Satin Midaxi Skirt,https://www.pixiegirl.com/pixiegirl-cobalt-blue-satin-midaxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/0306d29b-231e-41_224407_224573_L1.jpg,£22.99,,,https://cdn.pixiegirl.com/Images/ProductImages/Medium/500eaa93-e83e-41_224492_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/d002d6a1-99af-45_224567_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/67122852-8447-48_224573_X.jpg
14,Skirts,,Gray,PixieGirl Grey Fold Over Ribbed Skirt,https://www.pixiegirl.com/grey-rib-fold-over-skirt-225643-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/dca5a27a-2d5c-47_225643_A.jpg,£22.99,,,,,https://cdn.pixiegirl.com/Images/ProductImages/0306d29b-231e-41_224407_224573_L1.jpg
15,Skirts,,Black,PixieGirl Black Wrap Midi Skirt,https://www.pixiegirl.com/blk-ity-tie-wrap-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/4fdf09c6-b12a-4c_223627_A.jpg,£22.99,,,,,https://cdn.pixiegirl.com/Images/ProductImages/0306d29b-231e-41_224407_224573_L1.jpg
16,Skirts,,Black,PixieGirl Black Cargo Split Hem Maxi Skirt,https://www.pixiegirl.com/pixiegirl-black-cargo-split-hem-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/a1eb4dc9-d5f5-41_223647_A.jpg,£24.99,,,,,https://cdn.pixiegirl.com/Images/ProductImages/0306d29b-231e-41_224407_224573_L1.jpg
17,Skirts,,Blue,PixieGirl Blue Denim Cargo Midi Skirt,https://www.pixiegirl.com/pixiegirl-blue-denim-cargo-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/de6679a1-4a30-49_223500_L1.jpg,£29.99,,,,,
18,Skirts,,Black,PixieGirl Black Denim Split Midi Skirt,https://www.pixiegirl.com/pixiegirl-black-denim-split-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/a9a945c4-00cd-41_223499_AR.jpg,£29.99,,,https://cdn.pixiegirl.com/Images/ProductImages/Medium/47fc105c-c403-48_222933_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/8c65adbd-6a48-43_223811_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/6a128ad8-6c6a-4f_223499_X.jpg
19,Skirts,,Black,PixieGirl Black Plisse Midaxi Skirt,https://www.pixiegirl.com/blk-plisse-midaxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/64db4c8b-54d0-4d_223825_A.jpg,£22.99,,,,,https://cdn.pixiegirl.com/Images/ProductImages/0306d29b-231e-41_224407_224573_L1.jpg
20,Skirts,,Black,PixieGirl Black Ribbed Twist Front Maxi Skirt,https://www.pixiegirl.com/black-twist-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/cfc049f2-d675-49_223944_L1.jpg,£17.99,,,,,https://cdn.pixiegirl.com/Images/ProductImages/0306d29b-231e-41_224407_224573_L1.jpg
21,Skirts,,Purple,PixieGirl Purple Tie Dye Print Mesh Maxi Skirt,https://www.pixiegirl.com/prp-blur-print-maxi-mesh-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/1770629e-806f-41_224029_A.jpg,£24.99,,,,,
22,Skirts,,Black,PixieGirl Black Pleated Mini Skirt,https://www.pixiegirl.com/blk-suba-pleat-mini-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/77d4dd47-6b55-46_225083_14.jpg,£19.99,,,,,
23,Skirts,,Blue,PixieGirl Dark Blue Denim Midi Skirt,https://www.pixiegirl.com/ind-blue-denim-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/a12ba26d-a036-49_223926.jpg,£29.99,,,https://cdn.pixiegirl.com/Images/ProductImages/Medium/47fc105c-c403-48_222933_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/8c65adbd-6a48-43_223811_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/26e5bf4f-1ace-48_223926_X.jpg
